       Step     Time          Energy         fmax
GPMin:    0 21:12:22       -6.700504        0.3865
GPMin:    1 21:12:29       -6.918973        0.2370
GPMin:    2 21:12:36       -7.017460        0.1473
GPMin:    3 21:12:43       -7.057906        0.0888
GPMin:    4 21:12:49       -7.073914        0.0349
GPMin:    5 21:12:54       -7.076360        0.0195
       Step     Time          Energy         fmax
GPMin:    0 21:13:05       -6.379794        0.2700
GPMin:    1 21:13:13       -6.581861        0.2645
GPMin:    2 21:13:19       -6.725814        0.2609
GPMin:    3 21:13:26       -6.855165        0.2369
GPMin:    4 21:13:32       -6.963548        0.2034
GPMin:    5 21:13:38       -7.036429        0.1658
GPMin:    6 21:13:44       -7.087568        0.1285
GPMin:    7 21:13:50       -7.128339        0.1135
GPMin:    8 21:13:57       -7.163738        0.1013
GPMin:    9 21:14:02       -7.199896        0.0850
GPMin:   10 21:14:08       -7.233219        0.0744
GPMin:   11 21:14:14       -7.256413        0.0564
GPMin:   12 21:14:20       -7.267783        0.0474
GPMin:   13 21:14:26       -7.273121        0.0351
GPMin:   14 21:14:31       -7.276489        0.0334
GPMin:   15 21:14:37       -7.278940        0.0202
GPMin:   16 21:14:42       -7.280049        0.0174
       Step     Time          Energy         fmax
GPMin:    0 21:14:58       -6.396894        0.4684
GPMin:    1 21:15:04       -6.592713        0.1932
GPMin:    2 21:15:11       -6.681056        0.1865
GPMin:    3 21:15:18       -6.756725        0.1582
GPMin:    4 21:15:25       -6.806442        0.0897
GPMin:    5 21:15:31       -6.823304        0.0422
GPMin:    6 21:15:37       -6.830227        0.0438
GPMin:    7 21:15:44       -6.838889        0.0288
GPMin:    8 21:15:49       -6.843167        0.0271
GPMin:    9 21:15:55       -6.847076        0.0166
       Step     Time          Energy         fmax
GPMin:    0 21:16:07       -6.119662        0.9354
GPMin:    1 21:16:14       -6.439583        0.2824
GPMin:    2 21:16:21       -6.568632        0.2653
GPMin:    3 21:16:28       -6.688703        0.2282
GPMin:    4 21:16:35       -6.784919        0.1680
GPMin:    5 21:16:42       -6.843389        0.1198
GPMin:    6 21:16:48       -6.877317        0.1023
GPMin:    7 21:16:54       -6.905455        0.1095
GPMin:    8 21:17:00       -6.931082        0.0953
GPMin:    9 21:17:06       -6.950296        0.0894
GPMin:   10 21:17:12       -6.967018        0.0853
GPMin:   11 21:17:19       -6.985115        0.0794
GPMin:   12 21:17:24       -7.003134        0.0619
GPMin:   13 21:17:30       -7.016716        0.0505
GPMin:   14 21:17:35       -7.024780        0.0526
GPMin:   15 21:17:41       -7.038298        0.0612
GPMin:   16 21:17:47       -7.055381        0.0741
GPMin:   17 21:17:53       -7.075779        0.0916
GPMin:   18 21:17:59       -7.100591        0.1080
GPMin:   19 21:18:05       -7.132348        0.1252
GPMin:   20 21:18:12       -7.170185        0.1352
GPMin:   21 21:18:18       -7.207354        0.1248
GPMin:   22 21:18:24       -7.235750        0.0943
GPMin:   23 21:18:30       -7.252540        0.0530
GPMin:   24 21:18:35       -7.260389        0.0472
GPMin:   25 21:18:41       -7.264405        0.0429
GPMin:   26 21:18:46       -7.269886        0.0412
GPMin:   27 21:18:52       -7.273007        0.0324
GPMin:   28 21:18:58       -7.276442        0.0310
GPMin:   29 21:19:03       -7.278276        0.0235
GPMin:   30 21:19:09       -7.279743        0.0196
       Step     Time          Energy         fmax
GPMin:    0 21:19:28       -6.925232        0.1692
GPMin:    1 21:19:36       -6.975437        0.1288
GPMin:    2 21:19:43       -7.011537        0.1272
GPMin:    3 21:19:50       -7.058757        0.0952
GPMin:    4 21:19:56       -7.089071        0.0538
GPMin:    5 21:20:02       -7.103386        0.0345
GPMin:    6 21:20:08       -7.108129        0.0303
GPMin:    7 21:20:14       -7.110338        0.0163
       Step     Time          Energy         fmax
GPMin:    0 21:20:27       -6.385740        0.6675
GPMin:    1 21:20:34       -6.634140        0.2478
GPMin:    2 21:20:41       -6.760656        0.2369
GPMin:    3 21:20:49       -6.864513        0.1888
GPMin:    4 21:20:56       -6.941506        0.1421
GPMin:    5 21:21:03       -6.991493        0.1291
GPMin:    6 21:21:08       -7.032489        0.1026
GPMin:    7 21:21:14       -7.058533        0.0703
GPMin:    8 21:21:20       -7.068939        0.0340
GPMin:    9 21:21:27       -7.071786        0.0354
GPMin:   10 21:21:32       -7.074383        0.0280
GPMin:   11 21:21:38       -7.076320        0.0244
GPMin:   12 21:21:43       -7.077720        0.0193
       Step     Time          Energy         fmax
GPMin:    0 21:21:56       -6.868949        0.3977
GPMin:    1 21:22:04       -7.027738        0.1620
GPMin:    2 21:22:10       -7.082907        0.1532
GPMin:    3 21:22:17       -7.133087        0.1251
GPMin:    4 21:22:24       -7.170388        0.1035
GPMin:    5 21:22:30       -7.199301        0.1121
GPMin:    6 21:22:36       -7.234800        0.1064
GPMin:    7 21:22:43       -7.262043        0.0705
GPMin:    8 21:22:49       -7.273983        0.0320
GPMin:    9 21:22:54       -7.277643        0.0313
GPMin:   10 21:23:00       -7.279545        0.0173
       Step     Time          Energy         fmax
GPMin:    0 21:23:09       -6.537348        0.6952
GPMin:    1 21:23:16       -6.750573        0.1859
GPMin:    2 21:23:23       -6.841368        0.1547
GPMin:    3 21:23:29       -6.923571        0.1263
GPMin:    4 21:23:35       -6.974848        0.0933
GPMin:    5 21:23:41       -7.003026        0.0601
GPMin:    6 21:23:47       -7.014096        0.0589
GPMin:    7 21:23:52       -7.023354        0.0439
GPMin:    8 21:23:58       -7.032465        0.0585
GPMin:    9 21:24:03       -7.046241        0.0654
GPMin:   10 21:24:09       -7.066366        0.0684
GPMin:   11 21:24:15       -7.091836        0.0719
