Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.3574    -334.7695       3.4121   361.6
0.0010        -331.3579    -334.6828       3.3248   352.4
0.0015        -331.3555    -334.5054       3.1499   333.8
0.0020        -331.3516    -334.2807       2.9291   310.4
0.0025        -331.3478    -334.0748       2.7270   289.0
0.0030        -331.3452    -333.9498       2.6045   276.0
0.0035        -331.3445    -333.9376       2.5931   274.8
0.0040        -331.3454    -334.0286       2.6833   284.4
0.0045        -331.3456    -334.1823       2.8367   300.6
0.0050        -331.3448    -334.3524       3.0076   318.7
0.0055        -331.3426    -334.5000       3.1573   334.6
0.0060        -331.3395    -334.5980       3.2585   345.3
0.0065        -331.3356    -334.6328       3.2972   349.4
0.0070        -331.3301    -334.6088       3.2787   347.5
0.0075        -331.3243    -334.5518       3.2275   342.0
0.0080        -331.3178    -334.4976       3.1798   337.0
0.0085        -331.3112    -334.4890       3.1778   336.8
0.0090        -331.3060    -334.5633       3.2573   345.2
0.0095        -331.3036    -334.7320       3.4285   363.3
0.0100        -331.3039    -334.9637       3.6599   387.9
0.0105        -331.3041    -335.1897       3.8856   411.8
0.0110        -331.3033    -335.3433       4.0400   428.2
0.0115        -331.3005    -335.3881       4.0875   433.2
0.0120        -331.2974    -335.3298       4.0324   427.3
0.0125        -331.2948    -335.2037       3.9090   414.3
0.0130        -331.2938    -335.0534       3.7596   398.4
0.0135        -331.2951    -334.9118       3.6167   383.3
0.0140        -331.2967    -334.7936       3.4969   370.6
0.0145        -331.2989    -334.7082       3.4093   361.3
0.0150        -331.3014    -334.6625       3.3611   356.2
0.0155        -331.3052    -334.6573       3.3521   355.2
0.0160        -331.3088    -334.6818       3.3729   357.5
0.0165        -331.3122    -334.7266       3.4144   361.9
0.0170        -331.3154    -334.7898       3.4744   368.2
0.0175        -331.3193    -334.8727       3.5534   376.6
0.0180        -331.3247    -334.9685       3.6438   386.2
0.0185        -331.3316    -335.0584       3.7268   395.0
0.0190        -331.3390    -335.1144       3.7754   400.1
0.0195        -331.3460    -335.1150       3.7690   399.4
0.0200        -331.3532    -335.0574       3.7042   392.6
0.0205        -331.3597    -334.9508       3.5911   380.6
0.0210        -331.3657    -334.8197       3.4540   366.0
0.0215        -331.3709    -334.7010       3.3301   352.9
0.0220        -331.3773    -334.6336       3.2563   345.1
0.0225        -331.3862    -334.6344       3.2482   344.2
0.0230        -331.3964    -334.6826       3.2862   348.3
0.0235        -331.4070    -334.7341       3.3271   352.6
0.0240        -331.4154    -334.7473       3.3319   353.1
0.0245        -331.4223    -334.7081       3.2858   348.2
0.0250        -331.4282    -334.6285       3.2003   339.2
0.0255        -331.4338    -334.5382       3.1044   329.0
0.0260        -331.4389    -334.4693       3.0304   321.1
0.0265        -331.4452    -334.4464       3.0012   318.1
0.0270        -331.4519    -334.4780       3.0260   320.7
0.0275        -331.4588    -334.5612       3.1024   328.8
0.0280        -331.4663    -334.6840       3.2177   341.0
0.0285        -331.4743    -334.8265       3.3522   355.3
0.0290        -331.4830    -334.9622       3.4792   368.7
0.0295        -331.4917    -335.0634       3.5717   378.5
0.0300        -331.4997    -335.1140       3.6143   383.0
0.0305        -331.5064    -335.1163       3.6099   382.6
0.0310        -331.5127    -335.0990       3.5863   380.1
0.0315        -331.5210    -335.1019       3.5809   379.5
0.0320        -331.5317    -335.1418       3.6101   382.6
0.0325        -331.5452    -335.2002       3.6551   387.4
0.0330        -331.5586    -335.2338       3.6753   389.5
0.0335        -331.5710    -335.2069       3.6359   385.3
0.0340        -331.5810    -335.1132       3.5323   374.3
0.0345        -331.5893    -334.9841       3.3949   359.8
0.0350        -331.5982    -334.8740       3.2758   347.2
0.0355        -331.6089    -334.8251       3.2162   340.8
0.0360        -331.6213    -334.8474       3.2261   341.9
0.0365        -331.6342    -334.9224       3.2883   348.5
0.0370        -331.6469    -335.0225       3.3756   357.7
0.0375        -331.6604    -335.1247       3.4643   367.1
0.0380        -331.6744    -335.2043       3.5299   374.1
0.0385        -331.6887    -335.2374       3.5487   376.1
0.0390        -331.7023    -335.2064       3.5041   371.4
0.0395        -331.7140    -335.1103       3.3964   359.9
0.0400        -331.7242    -334.9769       3.2527   344.7
0.0405        -331.7346    -334.8525       3.1179   330.4
0.0410        -331.7459    -334.7738       3.0279   320.9
0.0415        -331.7583    -334.7488       2.9905   316.9
0.0420        -331.7709    -334.7618       2.9909   317.0
0.0425        -331.7829    -334.7891       3.0062   318.6
0.0430        -331.7939    -334.8118       3.0178   319.8
0.0435        -331.8043    -334.8223       3.0180   319.8
0.0440        -331.8138    -334.8215       3.0077   318.7
0.0445        -331.8228    -334.8174       2.9945   317.4
0.0450        -331.8324    -334.8184       2.9860   316.4
0.0455        -331.8419    -334.8242       2.9824   316.1
0.0460        -331.8506    -334.8316       2.9810   315.9
0.0465        -331.8584    -334.8422       2.9837   316.2
0.0470        -331.8649    -334.8687       3.0038   318.3
0.0475        -331.8718    -334.9332       3.0614   324.4
