      Step     Time          Energy         fmax
BFGS:    0 12:54:19     -183.341354        2.4828
BFGS:    1 12:55:23     -183.636445        2.8609
BFGS:    2 12:56:54     -185.047533        6.7841
BFGS:    3 12:58:03     -185.344730        4.4432
BFGS:    4 12:59:26     -185.502998        4.1640
BFGS:    5 13:00:40     -185.584930        1.2133
BFGS:    6 13:01:47     -185.610178        0.9846
BFGS:    7 13:02:48     -185.706879        0.7419
BFGS:    8 13:04:06     -186.183036        1.3714
BFGS:    9 13:05:04     -186.319196        1.4654
BFGS:   10 13:06:19     -186.799876        4.3854
BFGS:   11 13:07:30     -187.038055        3.0774
BFGS:   12 13:08:33     -187.282934        1.0386
BFGS:   13 13:09:50     -187.771926        2.8526
BFGS:   14 13:10:52     -188.018119        3.1266
BFGS:   15 13:12:02     -188.408525        2.2341
BFGS:   16 13:13:09     -188.715248        1.3461
BFGS:   17 13:14:14     -189.014612        2.9361
BFGS:   18 13:15:18     -189.356140        3.5122
BFGS:   19 13:16:18     -189.564255        1.1609
BFGS:   20 13:17:18     -189.764479        0.7500
BFGS:   21 13:18:18     -189.885615        1.8987
BFGS:   22 13:19:15     -189.983437        1.9807
BFGS:   23 13:20:12     -190.072673        0.9277
BFGS:   24 13:21:09     -190.134144        0.5297
BFGS:   25 13:22:06     -190.189213        1.2027
BFGS:   26 13:23:03     -190.243715        1.1179
BFGS:   27 13:23:58     -190.288634        0.4746
BFGS:   28 13:25:00     -190.340423        0.5685
BFGS:   29 13:26:10     -190.395925        1.2217
BFGS:   30 13:27:22     -190.472840        1.5446
BFGS:   31 13:28:31     -190.570424        1.0855
BFGS:   32 13:29:29     -190.665225        0.6839
BFGS:   33 13:30:28     -190.774282        1.4790
BFGS:   34 13:31:27     -190.825801        1.5220
BFGS:   35 13:32:23     -190.884210        0.6773
BFGS:   36 13:33:22     -190.944297        0.6507
BFGS:   37 13:34:14     -190.978436        1.0878
BFGS:   38 13:35:12     -191.036282        1.0813
BFGS:   39 13:36:11     -191.073856        0.5175
BFGS:   40 13:37:12     -191.112114        0.4910
BFGS:   41 13:38:17     -191.153152        1.2086
BFGS:   42 13:39:09     -191.191131        1.2449
BFGS:   43 13:40:05     -191.236122        0.5776
BFGS:   44 13:40:54     -191.266022        0.3883
BFGS:   45 13:41:50     -191.314915        0.9903
BFGS:   46 13:42:48     -191.355994        1.1402
BFGS:   47 13:43:48     -191.399691        0.8223
BFGS:   48 13:44:48     -191.447422        0.5040
BFGS:   49 13:45:47     -191.497081        1.2630
BFGS:   50 13:46:45     -191.571356        1.9230
BFGS:   51 13:47:56     -191.682616        1.9484
BFGS:   52 13:48:51     -191.745326        0.9179
BFGS:   53 13:49:50     -191.829588        0.7252
BFGS:   54 13:50:42     -191.868355        1.3270
BFGS:   55 13:51:39     -191.904246        1.0721
BFGS:   56 13:52:35     -191.942266        0.4727
BFGS:   57 13:53:32     -191.968710        0.6007
BFGS:   58 13:54:27     -192.001790        0.7655
BFGS:   59 13:55:28     -192.038035        0.5199
BFGS:   60 13:56:26     -192.070295        1.1022
BFGS:   61 13:57:31     -192.106786        0.5102
