      Step     Time          Energy         fmax
BFGS:    0 08:46:53       14.170585       38.1624
BFGS:    1 08:46:53       -1.481271        9.6975
BFGS:    2 08:46:53       -2.866469        5.2448
BFGS:    3 08:46:53       -3.892981        1.9868
BFGS:    4 08:46:53       -4.190943        0.9290
BFGS:    5 08:46:53       -4.291880        0.5591
BFGS:    6 08:46:53       -4.318565        0.5236
BFGS:    7 08:46:53       -4.336594        0.5042
BFGS:    8 08:46:53       -4.369335        0.5145
BFGS:    9 08:46:53       -4.428561        0.7050
BFGS:   10 08:46:53       -4.488398        1.0001
BFGS:   11 08:46:53       -4.571443        0.8192
BFGS:   12 08:46:53       -4.647545        0.9605
BFGS:   13 08:46:53       -4.683153        0.5541
BFGS:   14 08:46:53       -4.701995        0.4885
BFGS:   15 08:46:53       -4.751670        0.4819
BFGS:   16 08:46:53       -4.812666        0.5221
BFGS:   17 08:46:53       -4.827028        0.5908
BFGS:   18 08:46:53       -4.847720        0.5940
BFGS:   19 08:46:53       -4.882967        0.5006
BFGS:   20 08:46:53       -4.914888        0.3733
BFGS:   21 08:46:53       -4.922357        0.3789
BFGS:   22 08:46:53       -4.932538        0.3584
BFGS:   23 08:46:53       -4.939654        0.3087
BFGS:   24 08:46:53       -4.954977        0.3445
BFGS:   25 08:46:53       -4.980029        0.4517
BFGS:   26 08:46:53       -5.003772        0.5827
BFGS:   27 08:46:53       -5.059245        0.7907
BFGS:   28 08:46:53       -5.150720        0.8011
BFGS:   29 08:46:53       -5.145273        1.1233
BFGS:   30 08:46:53       -5.203230        0.7304
BFGS:   31 08:46:53       -5.230140        0.6762
BFGS:   32 08:46:53       -5.461135        0.8455
BFGS:   33 08:46:53       -5.555913        0.6908
BFGS:   34 08:46:53       -5.580011        0.4352
BFGS:   35 08:46:53       -5.594376        0.3908
BFGS:   36 08:46:53       -5.619378        0.2637
BFGS:   37 08:46:53       -5.628071        0.1995
BFGS:   38 08:46:53       -5.634238        0.1281
BFGS:   39 08:46:53       -5.635466        0.1405
BFGS:   40 08:46:53       -5.637347        0.1275
BFGS:   41 08:46:53       -5.639256        0.1392
BFGS:   42 08:46:53       -5.641825        0.1409
BFGS:   43 08:46:53       -5.644185        0.1514
BFGS:   44 08:46:53       -5.646141        0.1788
BFGS:   45 08:46:53       -5.647787        0.1702
BFGS:   46 08:46:53       -5.649699        0.1293
BFGS:   47 08:46:53       -5.651375        0.0888
BFGS:   48 08:46:53       -5.652095        0.0400
      Step     Time          Energy         fmax
BFGS:    0 08:46:53       13.800922       33.1858
BFGS:    1 08:46:53        1.563013       12.3798
BFGS:    2 08:46:53       -1.110268        5.7570
BFGS:    3 08:46:53       -2.288583        2.6069
BFGS:    4 08:46:53       -2.746554        1.1748
BFGS:    5 08:46:53       -2.889972        0.4706
BFGS:    6 08:46:53       -2.927036        0.4847
BFGS:    7 08:46:53       -2.942536        0.5095
BFGS:    8 08:46:53       -2.964587        0.5412
BFGS:    9 08:46:53       -3.016759        0.6096
BFGS:   10 08:46:53       -3.086134        0.7770
BFGS:   11 08:46:53       -3.139956        0.7501
BFGS:   12 08:46:53       -3.273378        1.3486
BFGS:   13 08:46:53       -3.334428        0.7039
BFGS:   14 08:46:53       -3.358518        0.6790
BFGS:   15 08:46:53       -3.390824        0.4759
BFGS:   16 08:46:53       -3.399284        0.2478
BFGS:   17 08:46:53       -3.402154        0.2165
BFGS:   18 08:46:53       -3.406072        0.1483
BFGS:   19 08:46:53       -3.408599        0.1216
BFGS:   20 08:46:53       -3.410845        0.1377
BFGS:   21 08:46:53       -3.412592        0.1873
BFGS:   22 08:46:53       -3.414608        0.2107
BFGS:   23 08:46:53       -3.417678        0.2013
BFGS:   24 08:46:53       -3.423192        0.2160
BFGS:   25 08:46:53       -3.430329        0.2561
BFGS:   26 08:46:53       -3.439272        0.2972
BFGS:   27 08:46:53       -3.459004        0.4647
BFGS:   28 08:46:53       -3.504886        0.7091
BFGS:   29 08:46:53       -3.594601        0.8386
BFGS:   30 08:46:53       -3.712850        0.9140
BFGS:   31 08:46:53       -3.610679        1.7428
BFGS:   32 08:46:53       -3.746515        0.9418
BFGS:   33 08:46:53       -3.759082        0.9527
BFGS:   34 08:46:53       -3.786008        0.9870
BFGS:   35 08:46:53       -3.803995        0.9759
BFGS:   36 08:46:53       -3.917983        0.7438
BFGS:   37 08:46:53       -3.960265        0.7423
BFGS:   38 08:46:53       -4.168317        1.3603
BFGS:   39 08:46:53       -4.330585        1.8316
BFGS:   40 08:46:53       -4.332834        1.9263
BFGS:   41 08:46:53       -4.447921        0.6631
BFGS:   42 08:46:53       -4.523344        0.5449
BFGS:   43 08:46:53       -4.570245        0.7525
BFGS:   44 08:46:53       -4.616800        1.0590
BFGS:   45 08:46:53       -4.676408        0.9971
BFGS:   46 08:46:53       -4.740386        1.0948
BFGS:   47 08:46:53       -4.784094        0.5512
BFGS:   48 08:46:53       -4.818003        0.4503
BFGS:   49 08:46:53       -4.846434        0.4131
BFGS:   50 08:46:53       -4.853868        0.2504
BFGS:   51 08:46:53       -4.857568        0.1990
BFGS:   52 08:46:53       -4.861051        0.1554
BFGS:   53 08:46:53       -4.869943        0.2081
BFGS:   54 08:46:53       -4.878754        0.2621
BFGS:   55 08:46:53       -4.885871        0.2506
BFGS:   56 08:46:53       -4.891251        0.2599
BFGS:   57 08:46:53       -4.896462        0.3058
BFGS:   58 08:46:53       -4.915130        0.4564
BFGS:   59 08:46:53       -4.938913        0.7534
BFGS:   60 08:46:53       -4.944544        0.6135
BFGS:   61 08:46:53       -5.033547        0.5461
BFGS:   62 08:46:53       -5.031825        0.9439
BFGS:   63 08:46:53       -5.087848        0.3788
BFGS:   64 08:46:53       -5.107006        0.2819
BFGS:   65 08:46:53       -5.122533        0.2127
BFGS:   66 08:46:53       -5.133817        0.3065
BFGS:   67 08:46:53       -5.145432        0.4208
BFGS:   68 08:46:53       -5.154159        0.4423
BFGS:   69 08:46:53       -5.163179        0.3893
BFGS:   70 08:46:53       -5.182244        0.2346
BFGS:   71 08:46:53       -5.195487        0.2242
BFGS:   72 08:46:53       -5.201270        0.1238
