       Step     Time          Energy         fmax
GPMin:    0 10:03:21       -4.086460        0.3279
GPMin:    1 10:03:27       -4.291538        0.2946
GPMin:    2 10:03:33       -4.441544        0.2956
GPMin:    3 10:03:40       -4.563327        0.2813
GPMin:    4 10:03:46       -4.652379        0.2293
GPMin:    5 10:03:52       -4.712920        0.1765
GPMin:    6 10:03:58       -4.758332        0.1619
GPMin:    7 10:04:04       -4.805741        0.1240
GPMin:    8 10:04:10       -4.841096        0.1036
GPMin:    9 10:04:15       -4.866061        0.0878
GPMin:   10 10:04:20       -4.885028        0.0827
GPMin:   11 10:04:26       -4.900509        0.0735
GPMin:   12 10:04:31       -4.911834        0.0588
GPMin:   13 10:04:36       -4.917161        0.0464
GPMin:   14 10:04:41       -4.922401        0.0484
GPMin:   15 10:04:46       -4.927876        0.0346
GPMin:   16 10:04:51       -4.931023        0.0183
       Step     Time          Energy         fmax
GPMin:    0 10:04:59       -4.176883        0.8410
GPMin:    1 10:05:06       -4.421595        0.2542
GPMin:    2 10:05:12       -4.500205        0.2543
GPMin:    3 10:05:18       -4.598664        0.2302
GPMin:    4 10:05:25       -4.673293        0.1662
GPMin:    5 10:05:31       -4.721782        0.1136
GPMin:    6 10:05:36       -4.740300        0.0905
GPMin:    7 10:05:42       -4.747418        0.0568
GPMin:    8 10:05:47       -4.753385        0.0599
GPMin:    9 10:05:51       -4.761146        0.0523
GPMin:   10 10:05:56       -4.770254        0.0393
GPMin:   11 10:06:01       -4.779340        0.0386
GPMin:   12 10:06:06       -4.785554        0.0346
GPMin:   13 10:06:11       -4.792428        0.0349
GPMin:   14 10:06:16       -4.797699        0.0302
GPMin:   15 10:06:21       -4.802358        0.0361
GPMin:   16 10:06:26       -4.807695        0.0363
GPMin:   17 10:06:32       -4.813515        0.0345
GPMin:   18 10:06:37       -4.820243        0.0392
GPMin:   19 10:06:43       -4.829369        0.0504
GPMin:   20 10:06:48       -4.840607        0.0520
GPMin:   21 10:06:54       -4.852675        0.0497
GPMin:   22 10:06:59       -4.863669        0.0546
GPMin:   23 10:07:05       -4.869855        0.0523
GPMin:   24 10:07:10       -4.874434        0.0465
GPMin:   25 10:07:15       -4.880175        0.0349
GPMin:   26 10:07:20       -4.885342        0.0251
GPMin:   27 10:07:25       -4.888434        0.0175
       Step     Time          Energy         fmax
GPMin:    0 10:07:34       -4.081944        0.1729
GPMin:    1 10:07:41       -4.101047        0.1521
GPMin:    2 10:07:49       -4.158004        0.1201
GPMin:    3 10:07:57       -4.224965        0.0993
GPMin:    4 10:08:04       -4.286533        0.0970
GPMin:    5 10:08:10       -4.319813        0.0863
GPMin:    6 10:08:15       -4.340998        0.0752
GPMin:    7 10:08:21       -4.375970        0.0714
