       Step     Time          Energy         fmax
GPMin:    0 17:06:49       -5.116765        1.6591
GPMin:    1 17:06:58       -6.277195        0.8848
GPMin:    2 17:07:06       -6.790004        0.4874
GPMin:    3 17:07:14       -7.025104        0.2662
GPMin:    4 17:07:22       -7.107980        0.1327
GPMin:    5 17:07:29       -7.122602        0.0682
GPMin:    6 17:07:35       -7.124938        0.0532
GPMin:    7 17:07:41       -7.133730        0.0369
GPMin:    8 17:07:48       -7.136802        0.0382
GPMin:    9 17:07:54       -7.138587        0.0379
GPMin:   10 17:08:00       -7.140471        0.0209
GPMin:   11 17:08:05       -7.140847        0.0195
       Step     Time          Energy         fmax
GPMin:    0 17:08:20       -4.427711        1.4668
GPMin:    1 17:08:29       -5.573251        0.8114
GPMin:    2 17:08:38       -6.086126        0.4740
GPMin:    3 17:08:47       -6.315582        0.3054
GPMin:    4 17:08:55       -6.390652        0.2411
GPMin:    5 17:09:03       -6.507698        0.2154
GPMin:    6 17:09:11       -6.519314        0.1719
GPMin:    7 17:09:21       -6.579225        0.2396
GPMin:    8 17:09:31       -6.596633        0.2555
       Step     Time          Energy         fmax
GPMin:    0 20:23:29       -4.427715        1.4667
GPMin:    1 20:23:37       -5.573248        0.8114
GPMin:    2 20:23:46       -6.086083        0.4740
GPMin:    3 20:23:53       -6.315529        0.3054
GPMin:    4 20:24:00       -6.390603        0.2412
GPMin:    5 20:24:07       -6.507803        0.2154
GPMin:    6 20:24:14       -6.519314        0.1719
GPMin:    7 20:24:23       -6.579131        0.2395
GPMin:    8 20:24:31       -6.596357        0.2554
GPMin:    9 20:24:38       -6.620127        0.2554
GPMin:   10 20:24:44       -6.675890        0.2342
GPMin:   11 20:24:49       -6.774246        0.2418
GPMin:   12 20:24:55       -6.876532        0.2379
GPMin:   13 20:25:00       -6.968668        0.2220
GPMin:   14 20:25:06       -7.044105        0.1939
GPMin:   15 20:25:11       -7.099490        0.1554
GPMin:   16 20:25:17       -7.141020        0.1396
GPMin:   17 20:25:22       -7.173046        0.1299
GPMin:   18 20:25:28       -7.197559        0.1054
GPMin:   19 20:25:34       -7.214838        0.0726
GPMin:   20 20:25:39       -7.225532        0.0570
GPMin:   21 20:25:45       -7.231770        0.0529
GPMin:   22 20:25:50       -7.235283        0.0400
GPMin:   23 20:25:55       -7.236904        0.0298
GPMin:   24 20:26:01       -7.238593        0.0304
GPMin:   25 20:26:05       -7.239203        0.0255
GPMin:   26 20:26:10       -7.239956        0.0140
       Step     Time          Energy         fmax
GPMin:    0 20:26:21       -4.948331        1.4791
GPMin:    1 20:26:29       -6.042874        0.7837
GPMin:    2 20:26:36       -6.520365        0.4181
GPMin:    3 20:26:43       -6.737165        0.2321
GPMin:    4 20:26:50       -6.814935        0.1463
GPMin:    5 20:26:56       -6.832142        0.0986
GPMin:    6 20:27:02       -6.837591        0.0816
GPMin:    7 20:27:08       -6.855380        0.0855
GPMin:    8 20:27:14       -6.873172        0.0963
GPMin:    9 20:27:19       -6.890868        0.1138
GPMin:   10 20:27:26       -6.910628        0.1237
GPMin:   11 20:27:32       -6.937347        0.1266
GPMin:   12 20:27:38       -6.968092        0.1189
